VC1,VC2,VC3,VC4,VC5,VC6,VC7,VC8,VC9,VC10,VC11,VC12,VC13,VC14,VC15,VC16,VC17,VC18,VC19,VC20,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DP8,DP9,DP10,DP11,DP12,DP13,DP14,DP15,DP16,DP17,DP18,DP19,DP20,DP21,DP22,VD_puntaje_total,DP_puntaje_tot,VD_niveles,DP_niveles,DP_conductual,DP_actitudinal,DP_intelectual,DP_conductual_niveles,DP_actitudinal_niveles,DP_intelectual_niveles,VD_autorrealizacion,VD_compromiso,VD_satisfacción,VD_identidad_docente,VD_autorrealizacion_niveles,VD_compromiso_niveles,VD_satisfaccion_niveles,VD_indentidad_niveles
2,4,3,5,3,5,4,3,2,3,4,3,3,3,4,5,3,4,4,5,3,3,3,3,4,4,4,4,3,3,4,3,3,3,3,3,4,4,4,4,4,4,72,77,4,4,28,19,30,4,3,4,14,20,22,16,4,3,4,4
4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,2,4,5,4,4,4,4,4,3,4,4,4,3,4,5,91,86,5,4,30,25,31,4,4,4,16,25,30,20,4,4,5,5
4,4,3,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,94,30,5,1,14,6,10,1,1,1,14,30,30,20,4,5,5,5
5,5,3,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,5,4,4,4,4,4,4,4,4,3,4,3,4,83,86,4,4,32,24,30,4,4,4,17,26,24,16,5,5,4,4
5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,4,5,5,5,5,4,5,5,5,5,5,5,4,4,5,5,98,102,5,5,35,29,38,5,5,5,19,29,30,20,5,5,5,5
4,4,4,4,4,5,4,4,5,5,4,4,3,4,4,5,4,4,4,4,3,4,4,4,4,5,4,5,4,5,4,4,3,4,3,4,5,4,4,4,4,4,83,89,4,4,33,24,32,4,4,4,16,27,24,16,4,5,4,4
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,99,100,5,5,32,28,40,4,5,5,19,30,30,20,5,5,5,5
4,3,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,5,5,5,5,4,4,4,4,5,5,5,4,4,5,4,4,4,4,4,4,5,79,95,4,5,34,27,34,5,5,5,14,25,24,16,4,4,4,4
5,2,3,4,4,5,5,5,4,5,5,4,4,3,4,4,4,4,4,3,4,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,4,4,81,100,4,5,34,30,36,5,5,5,14,28,24,15,4,5,4,4
5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,4,4,4,5,99,101,5,5,35,29,37,5,5,5,19,30,30,20,5,5,5,5
5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,4,5,5,4,5,5,4,4,5,5,4,5,5,4,4,4,5,5,4,5,5,98,100,5,5,36,28,36,5,5,5,20,29,30,19,5,5,5,5
4,4,3,4,4,5,5,5,5,5,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,3,4,4,83,85,4,4,32,23,30,4,4,4,15,29,24,15,4,5,4,4
4,5,5,5,4,5,5,5,4,5,5,5,5,4,5,4,5,5,5,5,5,4,4,5,4,4,5,4,5,4,5,4,5,4,4,5,5,5,4,5,5,4,95,99,5,5,35,27,37,5,5,5,19,28,28,20,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,4,5,5,4,4,4,5,5,5,4,4,4,5,5,5,5,4,5,4,4,5,5,4,4,5,5,95,100,5,5,35,29,36,5,5,5,20,30,27,18,5,5,5,5
5,5,5,5,5,4,4,4,5,4,5,5,4,5,4,5,5,5,5,5,4,5,4,4,4,5,4,5,5,5,4,5,5,4,5,5,5,5,4,4,4,5,94,100,5,5,35,28,37,5,5,5,20,26,28,20,5,5,5,5
5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,3,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,99,100,5,5,31,30,39,4,5,5,19,30,30,20,5,5,5,5
4,4,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,94,97,5,5,35,29,33,5,5,4,16,28,30,20,4,5,5,5
4,3,3,4,4,5,5,4,5,5,5,4,4,4,4,4,5,4,4,3,4,4,4,3,4,3,4,4,5,5,4,4,4,5,4,4,3,4,4,4,4,5,83,89,4,4,30,27,32,4,5,4,14,28,25,16,4,5,4,4
4,4,4,4,5,5,5,5,4,5,4,5,4,4,5,4,4,4,4,4,4,4,5,4,5,4,4,5,4,5,5,5,4,4,4,5,4,4,4,4,5,5,87,97,5,5,35,27,35,5,5,5,16,29,26,16,4,5,5,4
5,4,4,4,4,5,4,4,5,5,4,4,4,4,5,4,4,4,5,4,4,4,5,3,4,4,4,4,5,5,4,4,5,4,4,4,4,4,5,4,3,5,86,92,5,4,32,27,33,4,5,4,17,27,25,17,5,5,4,5
5,5,4,4,4,5,5,5,5,5,5,5,4,4,5,5,5,4,4,4,5,5,5,4,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,92,106,5,5,38,29,39,5,5,5,18,29,28,17,5,5,5,5
1,1,1,1,4,5,5,5,5,4,5,4,4,4,4,4,5,5,5,4,2,2,2,1,2,2,2,1,2,2,2,1,1,1,2,1,1,2,2,2,2,2,76,37,4,1,14,9,14,1,1,1,4,28,25,19,1,5,4,5
3,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,96,109,5,5,39,30,40,5,5,5,17,29,30,20,5,5,5,5
4,4,4,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,94,107,5,5,38,30,39,5,5,5,16,30,29,19,4,5,5,5
4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,4,4,5,5,98,94,5,5,33,24,37,4,4,5,18,30,30,20,5,5,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80,88,4,4,32,24,32,4,4,4,16,24,24,16,4,4,4,4
5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,99,103,5,5,40,30,33,5,5,4,20,29,30,20,5,5,5,5
4,4,4,4,4,5,5,4,5,4,5,4,4,4,4,4,4,4,5,5,4,5,4,4,4,4,4,5,4,5,4,4,4,4,5,5,4,4,4,4,4,4,86,93,5,5,34,25,34,5,4,5,16,27,25,18,4,5,4,5
3,3,3,3,3,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,72,88,4,4,32,24,32,4,4,4,12,21,23,16,3,4,4,4
5,5,4,4,5,4,4,4,5,5,5,5,4,4,4,4,4,4,4,4,5,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,87,91,5,4,35,24,32,5,4,4,18,27,26,16,5,5,5,4
4,5,5,5,4,5,4,5,4,4,5,5,5,5,5,4,4,4,4,4,4,4,3,4,3,3,4,5,5,5,5,4,5,4,5,5,5,5,4,4,4,4,90,94,5,5,30,28,36,4,5,5,19,26,29,16,5,5,5,4
5,5,4,4,4,5,5,5,4,5,5,5,5,4,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,93,110,5,5,40,30,40,5,5,5,18,28,29,18,5,5,5,5
5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,5,5,5,5,4,4,5,4,5,4,4,4,4,4,4,4,4,4,81,97,4,5,39,26,32,5,5,4,17,24,24,16,5,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,4,4,5,4,4,5,5,5,4,4,5,4,4,4,4,4,100,97,5,5,36,28,33,5,5,4,20,30,30,20,5,5,5,5
5,4,4,4,4,4,4,4,5,4,5,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,5,5,5,5,88,95,5,5,33,26,36,4,5,5,17,25,26,20,5,4,5,5
5,4,5,4,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,95,107,5,5,40,27,40,5,5,5,18,27,30,20,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,100,98,5,5,35,24,39,5,4,5,20,30,30,20,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,99,107,5,5,37,30,40,5,5,5,20,30,29,20,5,5,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80,88,4,4,32,24,32,4,4,4,16,24,24,16,4,4,4,4
5,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,88,95,5,5,39,24,32,5,4,4,17,29,25,17,5,5,4,5
5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,5,5,5,5,5,4,4,4,4,4,4,4,5,4,5,5,5,5,5,4,4,5,5,4,4,4,4,92,96,5,5,33,29,34,4,5,5,20,27,25,20,5,5,4,5
4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,5,5,5,5,94,101,5,5,35,30,36,5,5,5,16,28,30,20,4,5,5,5
5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,5,5,83,103,4,5,39,30,34,5,5,5,19,24,24,16,5,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,4,4,4,5,5,5,4,4,4,4,4,4,4,4,100,96,5,5,37,27,32,5,5,4,20,30,30,20,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,100,106,5,5,37,29,40,5,5,5,20,30,30,20,5,5,5,5
5,3,3,3,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,3,4,5,5,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,90,105,5,5,35,30,40,5,5,5,14,28,30,18,4,5,5,5
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,22,1,1,8,6,8,1,1,1,4,6,6,4,1,1,1,1
4,4,4,4,3,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,3,3,4,4,4,3,3,3,4,4,4,4,4,4,4,3,4,4,3,3,4,78,80,4,4,28,23,29,4,4,4,16,23,23,16,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,4,5,5,5,4,5,5,4,5,5,5,5,5,5,100,105,5,5,38,28,39,5,5,5,20,30,30,20,5,5,5,5
5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,5,5,4,4,4,5,5,5,5,4,5,5,5,4,5,4,4,4,5,4,97,100,5,5,36,29,35,5,5,5,18,30,30,19,5,5,5,5
4,4,3,4,3,3,4,3,4,4,4,3,3,5,4,3,3,5,4,3,3,3,3,3,4,3,4,3,3,3,3,3,3,4,4,3,4,3,4,5,3,5,73,76,4,4,26,19,31,3,3,4,15,21,22,15,4,4,4,4
2,2,2,3,3,4,3,4,3,4,3,3,4,4,3,4,4,3,4,3,3,4,3,4,5,4,5,3,4,5,4,5,3,4,3,4,4,5,4,3,4,4,65,87,3,4,31,25,31,4,4,4,9,21,21,14,2,4,4,4
4,4,3,5,4,5,5,3,4,5,4,5,4,3,4,5,4,5,4,4,3,4,5,3,4,3,4,5,3,4,5,4,5,4,3,4,4,3,4,5,4,4,84,87,4,4,31,25,31,4,4,4,16,26,25,17,4,5,4,5
3,4,4,5,4,5,3,4,3,4,4,4,5,4,3,4,5,4,3,4,3,4,5,4,3,4,3,4,4,3,4,5,4,3,4,4,5,3,4,4,4,5,79,86,4,4,30,23,33,4,4,4,16,23,24,16,4,4,4,4
3,4,4,3,4,5,4,3,4,5,4,5,4,3,4,5,4,3,4,5,3,4,5,4,3,4,5,3,4,3,4,5,4,4,3,4,4,4,5,5,4,5,80,89,4,4,31,24,34,4,4,5,14,25,25,16,4,4,4,4
3,3,4,5,4,5,4,5,4,4,5,4,4,5,4,5,4,5,4,5,3,4,5,4,4,3,3,4,5,4,4,4,4,5,4,3,5,3,4,3,5,4,86,87,5,4,30,26,31,4,5,4,15,26,27,18,4,5,5,5
4,5,3,4,5,4,5,4,5,4,5,4,5,4,4,3,5,4,5,4,4,5,4,5,5,4,5,4,5,4,5,4,4,5,4,5,4,4,4,5,4,4,86,97,5,5,36,27,34,5,5,5,16,27,25,18,4,5,4,5
3,4,5,4,3,4,4,4,3,5,4,3,4,4,4,5,4,3,5,4,4,5,4,4,5,4,4,5,5,4,5,5,4,3,4,5,4,3,4,3,4,5,79,93,4,5,35,26,32,5,5,4,16,23,24,16,4,4,4,4
3,4,5,4,4,5,4,5,4,4,4,4,3,5,3,4,3,5,4,5,5,4,5,4,5,4,5,4,4,5,4,4,4,4,5,4,5,4,5,4,5,4,82,97,4,5,36,25,36,5,4,5,16,26,23,17,4,5,4,5
3,4,4,4,5,5,4,4,5,3,4,4,4,5,5,3,4,5,4,4,3,4,3,4,4,5,3,4,4,3,4,5,4,4,4,3,4,5,4,3,4,5,83,86,4,4,30,24,32,4,4,4,15,26,25,17,4,5,4,5
4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,96,43,5,2,15,12,16,2,2,2,16,30,30,20,4,5,5,5
3,4,3,5,4,3,4,4,3,5,4,5,4,3,4,3,3,4,4,5,3,4,4,4,5,5,4,4,5,4,4,3,4,5,5,4,4,5,5,4,4,4,77,93,4,5,33,25,35,4,4,5,15,23,23,16,4,4,4,4
3,3,3,3,3,4,5,4,5,4,5,4,2,1,4,2,3,3,2,2,4,4,4,4,4,4,5,5,4,5,5,5,5,5,4,5,4,4,4,4,5,5,65,98,3,5,34,29,35,5,5,5,12,25,18,10,3,4,3,2
4,4,4,5,4,4,4,5,4,5,5,4,5,5,4,5,5,4,4,5,5,5,5,4,5,3,4,5,5,5,4,4,4,4,5,4,5,4,5,4,5,4,89,98,5,5,36,26,36,5,5,5,17,26,28,18,5,5,5,5
4,4,4,5,4,4,5,4,5,4,4,4,5,5,4,5,5,4,5,5,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,89,101,5,5,32,29,40,4,5,5,17,26,27,19,5,5,5,5
4,5,4,4,5,4,5,5,4,5,4,4,4,5,4,5,5,5,4,4,4,4,4,5,5,4,4,4,5,4,4,5,4,5,5,4,4,5,5,4,4,5,89,97,5,5,34,27,36,5,5,5,17,28,26,18,5,5,5,5
4,4,5,4,4,5,5,4,4,5,4,4,5,5,4,4,5,4,4,5,4,5,5,4,5,5,4,4,5,4,4,4,4,4,5,5,4,4,5,4,5,4,88,97,5,5,36,25,36,5,4,5,17,27,26,18,5,5,5,5
4,4,4,4,5,4,4,5,5,4,4,5,4,4,4,5,5,5,4,4,4,5,4,4,5,4,4,5,4,5,5,4,4,5,4,4,5,5,5,4,4,5,87,98,5,5,35,27,36,5,5,5,16,27,26,18,4,5,5,5
4,4,4,5,4,5,5,4,5,4,5,5,5,5,4,5,5,5,4,5,4,4,5,4,5,4,4,4,4,5,4,5,5,4,4,5,5,5,4,4,5,5,92,98,5,5,34,27,37,5,5,5,17,27,29,19,5,5,5,5
4,4,4,4,5,4,4,5,4,5,5,4,4,5,4,4,5,4,5,5,4,4,5,4,4,4,5,4,4,5,4,4,4,5,4,4,5,4,5,5,5,4,88,96,5,5,34,26,36,5,5,5,16,27,26,19,4,5,5,5
4,4,4,5,4,4,5,4,4,5,5,5,4,4,4,5,5,4,4,5,4,4,5,4,5,5,4,5,5,4,4,5,5,5,4,4,4,5,4,4,5,4,88,98,5,5,36,28,34,5,5,5,17,26,27,18,5,5,5,5
4,4,4,5,4,5,4,4,5,4,5,5,4,4,4,5,5,4,4,5,4,4,4,5,4,4,5,5,4,5,5,5,4,4,5,5,5,5,4,5,5,4,88,100,5,5,35,27,38,5,5,5,17,26,27,18,5,5,5,5
4,4,4,5,4,4,4,5,4,5,4,5,4,5,5,4,4,4,4,5,4,4,4,4,5,4,4,5,4,5,5,5,4,4,5,5,4,4,5,5,5,4,87,98,5,5,34,27,37,5,5,5,17,26,27,17,5,5,5,5
4,4,5,4,5,4,4,5,4,5,5,5,4,4,4,5,5,4,5,5,4,4,4,5,5,4,4,5,4,4,4,4,4,4,5,4,4,4,4,5,5,4,90,94,5,5,35,24,35,5,4,5,17,27,27,19,5,5,5,5
4,4,4,5,5,4,4,4,4,4,5,5,4,4,5,4,4,5,5,5,4,4,5,4,4,5,4,4,5,4,4,4,5,5,5,4,4,4,5,4,4,5,88,96,5,5,34,27,35,5,5,5,17,25,27,19,5,4,5,5
5,4,4,5,5,5,5,4,4,5,5,4,4,5,4,4,5,5,4,4,4,4,5,4,5,5,4,5,4,4,4,4,5,4,4,5,5,5,4,4,4,5,90,97,5,5,36,25,36,5,4,5,18,28,26,18,5,5,5,5
4,4,5,5,4,4,5,5,4,4,5,5,4,4,4,5,5,4,4,5,4,4,5,4,4,5,5,4,4,4,5,5,5,5,4,4,4,4,5,4,4,5,89,97,5,5,35,28,34,5,5,5,18,26,27,18,5,5,5,5
4,4,4,5,5,4,4,4,4,5,4,4,5,5,4,4,5,5,5,4,5,4,4,4,5,4,4,4,5,5,4,4,5,5,4,4,4,5,5,5,5,4,88,98,5,5,34,28,36,5,5,5,17,26,26,19,5,5,5,5
4,3,4,4,4,5,4,4,4,4,4,4,3,4,4,4,4,3,4,3,4,4,3,4,3,4,4,4,4,4,3,4,4,3,4,4,4,4,3,4,3,4,77,82,4,4,30,22,30,4,4,4,15,25,23,14,4,4,4,4
3,3,3,3,4,4,3,4,4,3,3,4,4,3,4,4,4,4,5,2,4,4,4,3,4,4,4,4,3,4,4,4,3,3,3,3,3,4,4,3,4,5,71,81,4,4,31,21,29,4,4,4,12,22,22,15,3,4,4,4
4,4,4,5,5,4,4,5,5,4,4,5,5,4,5,5,4,4,4,5,4,4,5,5,4,4,5,5,5,4,4,4,4,4,5,4,4,4,5,5,4,5,89,97,5,5,36,25,36,5,4,5,17,27,28,17,5,5,5,5
4,4,4,4,5,5,5,4,4,5,4,4,4,4,5,5,4,4,5,5,4,4,5,5,5,4,4,4,5,4,4,4,4,5,5,4,4,5,5,5,5,4,88,98,5,5,35,26,37,5,5,5,16,28,26,18,4,5,5,5
4,5,4,4,5,4,5,5,5,5,5,5,4,4,4,5,4,5,5,4,4,4,4,5,5,5,4,5,5,5,4,4,5,5,5,5,5,5,5,4,5,4,91,102,5,5,36,28,38,5,5,5,17,29,27,18,5,5,5,5
4,4,4,5,4,4,4,5,4,5,4,4,5,5,5,4,4,5,4,5,5,5,4,5,4,4,4,5,4,5,4,5,4,5,4,4,5,4,4,5,4,5,88,98,5,5,36,27,35,5,5,5,17,26,27,18,5,5,5,5
4,5,5,4,4,5,5,4,4,5,5,5,4,4,5,5,5,4,4,5,4,4,5,5,4,4,5,5,5,4,4,4,4,4,5,4,5,4,4,5,4,4,91,96,5,5,36,25,35,5,4,5,18,27,28,18,5,5,5,5
4,4,5,4,5,4,4,5,4,5,4,4,5,4,5,4,5,5,4,5,5,4,4,5,4,4,5,4,4,4,5,4,5,5,4,4,5,5,4,4,5,5,89,98,5,5,35,27,36,5,5,5,17,27,26,19,5,5,5,5
4,4,5,4,4,5,4,5,4,5,5,4,4,5,4,5,4,5,4,5,4,4,4,4,4,4,5,5,4,5,5,5,5,5,4,5,5,5,4,4,5,5,89,100,5,5,34,29,37,5,5,5,17,27,27,18,5,5,5,5
4,5,5,4,3,4,4,5,4,4,5,4,4,5,5,4,5,4,4,5,4,5,5,4,4,4,5,4,5,5,4,4,5,4,5,5,4,4,5,5,5,4,87,99,5,5,35,27,37,5,5,5,18,24,27,18,5,4,5,5
5,4,4,5,4,4,4,4,5,5,4,4,4,5,5,5,4,4,5,4,4,4,5,4,4,5,4,4,4,5,4,5,5,4,4,4,4,5,4,4,5,4,88,95,5,5,34,27,34,5,5,5,18,26,27,17,5,5,5,5
4,3,3,4,4,3,4,5,4,4,3,5,4,4,4,5,4,4,5,4,4,4,5,4,4,5,4,4,4,5,4,5,5,4,4,4,4,5,4,4,5,4,80,95,4,5,34,27,34,5,5,5,14,24,25,17,4,4,4,5
3,3,3,4,4,4,3,4,4,5,4,4,4,4,5,4,5,4,4,4,4,3,4,5,4,3,4,4,5,4,4,4,4,5,4,3,4,4,4,3,5,4,79,88,4,4,31,26,31,4,5,4,13,24,25,17,3,4,4,5
5,5,5,5,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,4,5,5,5,5,5,4,4,4,4,5,5,4,5,86,98,5,5,34,29,35,5,5,5,20,26,24,16,5,5,4,4
5,5,5,4,5,5,5,4,4,5,5,4,5,4,5,5,5,5,5,4,4,5,4,5,4,5,5,5,4,5,4,5,4,5,5,4,4,4,5,4,4,5,94,99,5,5,37,27,35,5,5,5,19,28,28,19,5,5,5,5
5,5,5,4,5,5,5,4,4,5,5,4,5,4,5,5,5,5,5,4,4,5,4,5,4,5,5,5,4,5,4,5,4,5,5,4,4,4,5,4,4,5,94,99,5,5,37,27,35,5,5,5,19,28,28,19,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,99,106,5,5,38,30,38,5,5,5,20,30,30,19,5,5,5,5
4,4,4,4,4,5,4,4,3,4,4,4,4,4,5,4,5,4,5,4,4,4,5,4,4,4,4,5,4,5,4,5,5,5,5,4,4,4,4,4,3,4,83,94,4,5,34,28,32,5,5,4,16,24,25,18,4,4,4,5
5,4,4,4,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,4,4,3,4,4,4,4,5,4,4,5,5,5,5,5,4,4,4,4,4,3,3,5,94,92,5,4,32,29,31,4,5,4,17,30,29,18,5,5,5,5
1,3,2,4,4,5,5,5,4,2,4,4,4,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,5,5,4,4,4,5,5,75,93,4,5,32,25,36,4,4,5,10,25,23,17,2,4,4,5
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,4,4,5,4,5,4,4,5,5,5,4,4,4,5,99,99,5,5,37,26,36,5,5,5,19,30,30,20,5,5,5,5
4,3,4,4,5,5,5,5,5,5,4,4,4,4,5,5,5,4,5,4,5,4,4,5,3,4,5,5,4,5,4,4,4,5,5,3,4,4,4,5,4,5,89,95,5,5,35,26,34,5,5,5,15,30,26,18,4,5,5,5
4,5,4,5,4,5,5,4,4,5,5,5,5,4,4,5,5,5,5,3,4,3,4,5,4,5,5,5,5,5,4,4,4,5,4,4,4,3,4,4,4,5,91,94,5,5,35,27,32,5,5,4,18,27,28,18,5,5,5,5
4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,5,4,4,4,4,4,4,5,4,4,5,4,4,5,4,4,4,4,5,86,93,5,5,33,26,34,4,5,5,17,25,24,20,5,4,4,5
5,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,97,107,5,5,37,30,40,5,5,5,17,30,30,20,5,5,5,5
5,2,2,5,5,5,5,5,5,5,5,5,4,4,3,4,5,5,5,5,4,4,4,4,5,4,4,4,5,5,5,5,5,5,5,5,4,4,5,4,4,5,89,99,5,5,33,30,36,4,5,5,14,30,25,20,4,5,4,5
1,2,2,2,1,1,2,1,1,1,1,1,2,2,1,2,1,2,1,2,3,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,1,2,2,2,3,2,29,41,1,2,16,9,16,2,1,2,7,7,9,6,1,1,1,1
1,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,80,86,4,4,32,22,32,4,4,4,13,26,24,17,3,5,4,5
2,4,2,5,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,5,4,4,5,4,4,4,4,4,5,5,5,4,4,4,5,89,94,5,5,33,25,36,4,4,5,13,28,29,19,3,5,5,5
1,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,93,107,5,5,37,30,40,5,5,5,13,30,30,20,3,5,5,5
5,4,4,4,5,5,5,4,4,5,4,4,5,4,5,4,4,4,5,5,4,4,3,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4,89,89,5,4,31,26,32,4,5,4,17,28,26,18,5,5,5,5
4,2,2,2,4,4,4,4,4,5,4,4,4,4,4,4,4,2,2,2,2,4,4,4,4,4,4,4,4,3,4,4,4,4,4,5,5,4,4,4,4,4,69,87,4,4,30,23,34,4,4,5,10,25,24,10,2,4,4,2
4,5,4,4,5,4,5,5,5,5,5,4,5,4,5,5,5,5,5,5,4,4,4,3,5,4,4,3,4,5,5,5,4,4,5,5,5,4,5,5,4,5,94,96,5,5,31,27,38,4,5,5,17,29,28,20,5,5,5,5
2,3,4,4,4,5,5,5,4,4,5,5,5,4,5,4,5,5,5,4,4,5,4,4,5,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,5,87,93,5,5,34,26,33,5,5,4,13,27,28,19,3,5,5,5
4,2,3,3,3,4,4,4,4,5,4,4,4,4,5,4,4,3,3,3,4,5,4,4,5,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4,4,5,74,93,4,5,34,26,33,5,5,4,12,24,25,13,3,4,4,3
