VC1,VC2,VC3,VC4,VC5,VC6,VC7,VC8,VC9,VC10,VC11,VC12,VC13,VC14,VC15,VC16,VC17,VC18,VC19,VC20,DP1,DP2,DP3,DP4,DP5,DP6,DP7,DP8,DP9,DP10,DP11,DP12,DP13,DP14,DP15,DP16,DP17,DP18,DP19,DP20,DP21,DP22,VD_puntaje_total,DP_puntaje_tot,VD_niveles,DP_niveles,DP_conductual,DP_actitudinal,DP_intelectual,DP_conductual_niveles,DP_actitudinal_niveles,DP_intelectual_niveles,VD_autorrealizacion,VD_compromiso,VD_satisfacción,VD_identidad_docente,VD_autorrealizacion_niveles,VD_compromiso_niveles,VD_satisfaccion_niveles,VD_indentidad_niveles
4,3,4,3,4,3,4,4,3,4,4,3,3,4,3,4,3,4,3,4,4,5,4,4,5,4,4,5,4,4,4,4,4,5,4,5,4,4,5,4,5,4,71,95,4,5,35,25,35,5,4,5,14,22,21,14,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80,88,4,4,32,24,32,4,4,4,16,24,24,16,4,4,4,4
3,3,3,3,4,4,4,4,4,4,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3,4,3,4,3,4,3,3,3,3,3,4,4,3,3,4,67,72,3,3,25,20,27,3,3,3,12,24,18,13,3,4,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80,88,4,4,32,24,32,4,4,4,16,24,24,16,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80,86,4,4,30,24,32,4,4,4,16,24,24,16,4,4,4,4
3,3,4,4,3,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,3,4,3,4,4,4,3,4,4,4,4,4,75,83,4,4,30,22,31,4,4,4,14,23,22,16,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80,88,4,4,32,24,32,4,4,4,16,24,24,16,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,80,85,4,4,30,23,32,4,4,4,16,24,24,16,4,4,4,4
4,3,3,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,78,85,4,4,29,24,32,4,4,4,13,24,25,16,3,4,4,4
3,3,3,4,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,77,79,4,4,25,23,31,3,4,4,13,24,24,16,3,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,3,3,4,3,3,4,4,4,4,4,4,4,3,3,3,4,4,4,4,4,79,80,4,4,27,24,29,3,4,4,16,24,23,16,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,78,88,4,4,32,24,32,4,4,4,16,24,22,16,4,4,4,4
4,4,4,4,4,3,4,4,3,4,4,4,3,3,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,3,4,74,88,4,4,32,25,31,4,4,4,16,22,21,15,4,4,4,4
4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,81,88,4,4,32,24,32,4,4,4,16,25,24,16,4,4,4,4
3,3,3,4,3,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,3,4,3,3,4,4,4,3,3,3,3,3,4,4,4,4,4,3,4,78,77,4,4,27,20,30,3,3,4,13,25,24,16,3,4,4,4
4,3,3,3,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,3,4,4,3,4,4,81,84,4,4,32,22,30,4,4,4,13,28,24,16,3,5,4,4
2,2,2,4,3,4,4,4,4,4,3,4,3,3,3,3,4,4,4,4,2,2,2,2,3,3,4,4,4,4,4,4,3,3,3,4,4,4,4,3,3,4,68,73,3,3,22,22,29,3,4,4,10,23,19,16,2,4,3,4
5,2,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,4,4,4,5,5,4,4,4,4,5,4,4,4,5,4,3,5,94,94,5,5,34,26,34,5,5,5,15,29,30,20,4,5,5,5
2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,74,88,4,4,32,24,32,4,4,4,10,24,24,16,2,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,4,4,3,3,4,4,4,4,5,4,4,3,3,4,4,4,4,4,4,4,5,79,85,4,4,29,23,33,4,4,4,16,24,24,15,4,4,4,4
4,4,4,5,5,5,4,4,4,5,4,4,5,5,5,5,4,4,5,5,5,4,4,5,4,5,4,4,5,5,4,4,5,5,4,5,5,5,4,4,4,4,90,98,5,5,35,28,35,5,5,5,17,27,28,18,5,5,5,5
5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,5,5,5,5,99,108,5,5,40,29,39,5,5,5,19,30,30,20,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,110,5,5,40,30,40,5,5,5,20,30,30,20,5,5,5,5
2,2,2,4,2,5,5,5,2,5,5,5,5,5,5,5,5,4,5,5,5,5,4,5,4,5,4,5,5,5,4,5,4,5,5,4,4,4,4,2,5,5,83,98,4,5,37,28,33,5,5,4,10,24,30,19,2,4,5,5
2,2,2,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,75,89,4,4,32,25,32,4,4,4,11,24,24,16,3,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,82,89,4,4,32,25,32,4,4,4,16,24,25,17,4,4,4,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,80,88,4,4,32,24,32,4,4,4,16,24,24,16,4,4,4,4
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,108,5,5,38,30,40,5,5,5,20,30,30,20,5,5,5,5
5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,99,108,5,5,38,30,40,5,5,5,19,30,30,20,5,5,5,5
4,4,4,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,4,4,5,4,5,5,4,5,5,5,4,5,4,5,5,5,5,5,5,4,4,5,96,102,5,5,36,28,38,5,5,5,17,29,30,20,5,5,5,5
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,110,5,5,40,30,40,5,5,5,20,30,30,20,5,5,5,5
4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,3,3,3,4,3,4,4,4,4,4,4,4,4,3,4,4,4,3,3,3,4,3,4,4,3,3,4,73,81,4,4,32,21,28,4,4,4,16,24,20,13,4,4,3,3
4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,5,3,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,76,82,4,4,28,24,30,4,4,4,16,24,22,14,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,3,4,4,3,4,4,4,4,4,3,3,3,3,3,4,4,4,3,4,80,78,4,4,28,22,28,4,4,4,16,24,24,16,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,3,3,4,3,4,4,4,3,4,3,3,3,3,3,3,3,4,4,3,3,4,79,74,4,3,28,19,27,4,3,3,16,24,23,16,4,4,4,4
4,4,4,4,4,5,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,3,3,3,4,4,4,4,4,4,77,89,4,4,32,27,30,4,5,4,16,25,20,16,4,4,3,4
4,3,3,3,4,4,4,4,4,4,3,4,3,3,4,4,4,3,5,4,4,4,4,4,4,3,3,4,3,4,3,4,3,3,3,3,3,4,4,4,3,4,74,78,4,4,30,20,28,4,3,4,13,24,21,16,3,4,4,4
4,4,4,4,4,5,4,5,4,4,4,4,4,4,5,4,4,3,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,81,88,4,4,32,24,32,4,4,4,16,26,25,14,4,5,4,4
5,5,4,4,4,5,4,4,5,5,4,5,4,3,5,4,4,4,5,3,4,4,3,5,4,3,4,5,5,5,4,4,4,5,3,5,4,3,4,5,4,4,86,91,5,4,32,27,32,4,5,4,18,27,25,16,5,5,4,4
4,3,3,4,3,4,4,3,5,5,4,4,4,3,5,4,4,4,4,3,4,4,4,3,3,3,5,5,4,5,4,4,5,4,4,4,5,5,4,4,4,5,77,92,4,4,31,26,35,4,5,5,14,24,24,15,4,4,4,4
4,3,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,3,4,3,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,4,3,4,4,3,4,4,74,86,4,4,33,24,29,4,4,4,14,24,23,13,4,4,4,3
5,5,5,5,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,4,4,4,4,4,4,97,90,5,4,32,26,32,4,5,4,20,28,29,20,5,5,5,5
4,4,4,3,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,3,4,4,4,4,3,3,4,4,4,3,4,4,4,3,4,4,4,4,4,4,4,77,83,4,4,29,23,31,4,4,4,15,24,23,15,4,4,4,4
4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,4,5,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,98,96,5,5,34,30,32,5,5,4,18,30,30,20,5,5,5,5
4,5,4,4,5,5,4,5,5,4,4,4,5,4,5,4,5,4,4,4,5,4,4,5,4,4,4,5,4,5,4,4,4,4,4,5,4,4,4,4,4,5,88,94,5,5,35,25,34,5,4,5,17,28,26,17,5,5,5,5
1,4,5,5,4,5,5,5,3,5,5,5,5,5,5,4,5,5,5,5,5,5,4,5,4,5,4,5,5,5,5,5,5,5,5,4,5,4,5,5,5,4,91,104,5,5,37,30,37,5,5,5,15,27,29,20,4,5,5,5
5,5,5,4,5,4,5,5,5,4,5,5,4,4,5,5,4,4,5,5,4,4,5,5,5,4,5,4,5,4,4,5,5,4,4,5,4,4,4,4,4,4,93,96,5,5,36,27,33,5,5,4,19,28,28,18,5,5,5,5
4,4,3,4,4,4,5,4,4,5,4,4,4,4,4,4,5,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,4,4,84,86,4,4,32,24,30,4,4,4,15,26,24,19,4,5,4,5
5,4,3,4,5,5,5,5,5,5,4,4,3,3,5,5,4,3,5,5,4,4,5,5,4,4,4,5,4,4,5,4,4,4,5,4,4,4,5,4,4,3,87,93,5,5,35,25,33,5,4,4,16,30,24,17,4,5,4,5
