Código modular;Código de institución;Nombre de IE;Nivel / Modalidad;Tipo de Gestión;Dependencia;Director;Estado;Dirección de IE;Provincia;Distrito;Tipo de programa;Turno;Alumnos (Censo educativo);Docentes (Censo educativo);Secciones (Censo educativo)
0437426;25622391;BERTOLT BRECHT;Secundaria;Privada;Particular;FLORES SURCO SEPHORA AVELINA;Activo;AVENIDA COLONIAL 2798;Lima;Lima;No aplica;Continuo sólo en la mañana;514;29;15
0334656;22391925;0040 HIPOLITO UNANUE;Secundaria;Pública de gestión directa;Sector Educación;LOZANO GUERRA MARIA;Activo;AVENIDA ELVIRA GARCIA Y GARCIA S/N;Lima;Lima;No aplica;Continuo sólo en la mañana;1120;83;37
0334730;22125044;PNP CAP. ALIPIO PONCE VASQUEZ;Secundaria;Pública de gestión directa;Otro sector público (FF.AA.);AMADO QUEVEDO JORGE LUIS;Activo;AVENIDA SEBASTIAN LORENTE 769;Lima;Lima;No aplica;Continuo sólo en la mañana;384;18;16
0334748;21564877;PNP TUPAC AMARU;Secundaria;Pública de gestión directa;Otro sector público (FF.AA.);VILCARROMERO SANCHEZ PEDRO ALEX;Activo;AVENIDA SEBASTIAN LORENTE 731;Lima;Lima;No aplica;Continuo mañana y tarde;485;23;17
0336495;22375271;NUESTRA SEÑORA DE GUADALUPE;Secundaria;Pública de gestión directa;Sector Educación;MARCHAN COZ HILMER CARLOS;Activo;AVENIDA ALFONSO UGARTE 1227;Lima;Lima;No aplica;Continuo sólo en la mañana;1367;106;51
0336511;22392425;105 PEDRO CORONADO ARRASCUE;Secundaria;Pública de gestión directa;Sector Educación;REQUIS QUISPE VICTOR RUFINO;Activo;AVENIDA ALFONSO UGARTE 120;Lima;Lima;No aplica;Continuo sólo en la mañana;269;18;10
0336537;21485837;NUESTRA SEÑORA DE MONTSERRAT;Secundaria;Pública de gestión directa;Sector Educación;HUAMAN ESTEBAN NORMA JUSTINA;Activo;JIRON CONDE DE SUPERUNDA 466;Lima;Lima;No aplica;Continuo mañana y tarde;522;42;28
0336560;22121243;1148 JUANA INFANTES VERA;Secundaria;Pública de gestión directa;Sector Educación;SEGOVIA VASQUEZ RAUL;Activo;BLOCK 52 A;Lima;Lima;No aplica;Continuo sólo en la mañana;460;26;15
0336594;22507109;JUAN PABLO VIZCARDO Y GUZMAN;Secundaria;Pública de gestión directa;Sector Educación;PIZARRO SANTIAGO ELENA;Activo;AVENIDA NICOLAS DUEÑAS 555;Lima;Lima;No aplica;Continuo sólo en la mañana;837;61;28
0336602;22506374;1166 LIBERTADOR SIMON BOLIVAR;Secundaria;Pública de gestión directa;Sector Educación;SANTILLAN JIMENEZ HUBER ESTEBAN;Activo;JIRON RAMON CARCAMO 195;Lima;Lima;No aplica;Continuo sólo en la mañana;224;18;10
0336883;25306651;FRAY LUIS DE LEON;Secundaria;Privada;Particular;CADILLO PEREZ YULY;Activo;JIRON JUAN OLAECHEA ARNAO 1381;Lima;Lima;No aplica;Continuo sólo en la mañana;101;11;5
0336990;21554553;LIMA SAN CARLOS;Secundaria;Privada;Particular;TAFUR PALACIOS SILVIA HANNA;Activo;AVENIDA URUGUAY 384-390;Lima;Lima;No aplica;Continuo sólo en la mañana;9;9;4
0337030;24604675;ASOCIACION COLEGIO MARIA ALVARADO;Secundaria;Privada;Particular;NARAZA CORDOVA NINOSHKA DEL ROCÍO;Activo;AVENIDA 28 DE JULIO 249;Lima;Lima;No aplica;Continuo sólo en la mañana;319;29;11
0337238;24607569;SAN ANDRES;Secundaria;Privada;Particular;CERNA ANAYA ANA MARIA;Activo;AVENIDA PETIT THOUARS 179;Lima;Lima;No aplica;Continuo sólo en la mañana;0;0;0
0337253;21565377;SANTA ISABEL DE HUNGRIA;Secundaria;Privada;Particular;OCHOA ROJAS CRISTINA MARIA;Activo;AVENIDA NACIONES UNIDAS 1678;Lima;Lima;No aplica;Continuo sólo en la mañana;217;24;9
0337287;21581860;SANTO TOMAS DE AQUINO;Secundaria;Privada;Particular;GARCIA MANRIQUE GIOVANNI MILDRED;Activo;CALLE RINCONADA DE SANTO DOMINGO 209;Lima;Lima;No aplica;Continuo sólo en la mañana;220;15;10
0337295;22513206;SANTA MARIA REYNA;Secundaria;Privada;Particular;ECHEVARRIA GARCIA JOAQUIN JACOBO;Activo;JIRON JUNIN 1038;Lima;Lima;No aplica;Continuo sólo en la mañana;0;0;0
0337303;;SEÑOR DE LA MISERICORDIA;Secundaria;Privada;Comunidad o asociación religiosa;RAMIREZ PALACIOS GLADYS TULA;Activo;JIRON JUNIN 1458;Lima;Lima;No aplica;Continuo sólo en la mañana;313;14;11
0337568;22507028;ARGENTINA;Secundaria;Pública de gestión directa;Sector Educación;LEVA RAMOS JULIA PETRONILA;Activo;AVENIDA ALFONSO UGARTE 1011;Lima;Lima;No aplica;Continuo mañana y tarde;1281;83;51
0337592;22506862;25 NUESTRA SEÑORA DE LA INMACULADA CONCEPCION;Secundaria;Pública de gestión directa;Sector Educación;PERALTA VASQUEZ FLOR MARITZA;Activo;JIRON JUNIN 1238;Lima;Lima;No aplica;Continuo sólo en la mañana;279;16;10
0337741;21364304;022 REPUBLICA DE GUATEMALA;Secundaria;Pública de gestión directa;Sector Educación;COSME GARCILAZO RAYDA ISABEL;Activo;JIRON MANUEL PARDO 225;Lima;Lima;No aplica;Continuo sólo en la mañana;277;28;10
0466383;22504215;0035 NUESTRA SEÑORA DE LA VISITACION;Secundaria;Pública de gestión directa;Sector Educación;OLIVERA CCALLA ELIZABETH EDITH;Activo;JIRON PACASMAYO 550;Lima;Lima;No aplica;Continuo sólo en la mañana;235;14;9
0466722;22507362;SIMON BOLIVAR;Secundaria;Pública de gestión directa;Sector Educación;BAÑOS ESTRADA MARTHA SONIA;Activo;JIRON SANTA JUSTINA S/N;Lima;Lima;No aplica;Continuo mañana y tarde;599;36;23
0476697;25648390;NUESTRA SEÑORA DE LAS MERCEDES;Secundaria;Privada;Comunidad o asociación religiosa;SANCHEZ GLORIO JAIME FELIX;Activo;JIRON MAYNAS 540;Lima;Lima;No aplica;Continuo sólo en la mañana;283;21;10
0496695;21560162;NIÑO JESUS DE PRAGA;Secundaria;Privada;Comunidad o asociación religiosa;SARCO RODRIGUEZ TERESA ISABEL;Activo;JIRON CONCHUCOS 278;Lima;Lima;No aplica;Continuo sólo en la mañana;130;8;5
0501676;22389629;1049 JUANA ALARCO DE DAMMERT;Secundaria;Pública de gestión directa;Sector Educación;RONCALLO MIRAVAL MARIO EUGENIO;Activo;JIRON CUZCO 426;Lima;Lima;No aplica;Continuo mañana y tarde;379;20;12
0511105;25311019;NUESTRA SEÑORA DEL PRADO;Secundaria;Privada;Comunidad o asociación religiosa;RAMOS CAMPOS RUBEN ESTEBAN;Activo;JIRON JUNIN 1411;Lima;Lima;No aplica;Continuo sólo en la mañana;187;16;10
0511295;25312260;SANTISIMA TRINIDAD;Secundaria;Privada;Comunidad o asociación religiosa;NIZAMA ARENAS JOSE MANUEL;Activo;JIRON HOLANDA 2456;Lima;Lima;No aplica;Continuo sólo en la mañana;470;27;16
0555847;22505122;1037 RAMON ESPINOSA;Secundaria;Pública de gestión directa;Sector Educación;ALVARADO HERRADA MILOVAN PABLO;Activo;JIRON ANCASH 1254;Lima;Lima;No aplica;Continuo sólo en la mañana;215;18;9
0556332;21364061;103 LUIS ARMANDO CABELLO HURTADO;Secundaria;Pública de gestión directa;Sector Educación;MANCO DE LA CRUZ CESAR ANIBAL;Activo;PASAJE ALTO DE LA ALIANZA S/N;Lima;Lima;No aplica;Continuo sólo en la mañana;338;29;12
0578310;22125461;CESAR VALLEJO;Secundaria;Privada;Particular;DAVILA PICON NIWEL CLODOALDO;Activo;CALLE MATEO AGUILAR 175-179 MZ 37 LOTE 11;Lima;Lima;No aplica;Continuo sólo en la mañana;263;8;9
0578336;;1160 JOSE FAUSTINO SANCHEZ CARRION;Secundaria;Pública de gestión directa;Sector Educación;VALERA VASQUEZ JUAN ALEJANDRO;Activo;JIRON REPUBLICA DEL ECUADOR 605;Lima;Lima;No aplica;Continuo sólo en la tarde;295;16;10
0578351;22393669;1156 JOSE SEBASTIAN BARRANCA LOVERA;Secundaria;Pública de gestión directa;Sector Educación;JUAREZ MAMANI WALKER BENITO;Activo;JIRON HUARANCAYO 168;Lima;Lima;No aplica;Continuo sólo en la mañana;273;15;10
0578393;22344900;1021 REPUBLICA FEDERAL DE ALEMANIA;Secundaria;Pública de gestión directa;Sector Educación;BOLLEA ZEVALLOS JORGE BENJAMIN;Activo;AVENIDA BELISARIO SOSA PELAEZ 1550;Lima;Lima;No aplica;Continuo sólo en la mañana;244;17;10
0578401;22300016;111 SAN JOSE DE ARTESANOS;Secundaria;Pública de gestión directa;Sector Educación;CCESA RAYME DEMETRIO;Activo;JIRON AYACUCHO 179;Lima;Lima;No aplica;Continuo sólo en la mañana;166;9;5
0578435;22121324;1146 REPUBLICA DEL PARAGUAY;Secundaria;Pública de gestión directa;Sector Educación;PEÑA HUAMAN JESUS ROLANDO;Activo;AVENIDA EMANCIPACION 731;Lima;Lima;No aplica;Continuo mañana y tarde;439;24;14
0605758;21557528;ALBERT EINSTEIN;Secundaria;Privada;Particular;BUENDIA GIRIBALDI ATILIO RODOLFO;Activo;JIRON CALLAO 358;Lima;Lima;No aplica;Continuo sólo en la mañana;0;0;0
0632471;21365963;1001 JOSE JIMENEZ BORJA;Secundaria;Pública de gestión directa;Sector Educación;SIMEON FUNEGRA LUIS MAGNO;Activo;JIRON WASHINGTON 1454;Lima;Lima;No aplica;Continuo sólo en la mañana;335;20;11
0642801;22121405;1035 JOSE DEL CARMEN MARIN ARISTA;Secundaria;Pública de gestión directa;Sector Educación;OJEDA HUAPAYA FELIPE ALBERTO;Activo;AVENIDA NICOLAS DE PIEROLA 1533;Lima;Lima;No aplica;Continuo mañana y tarde;665;38;22
0644856;;INMACULADA VIRGEN DEL TRANSITO;Secundaria;Privada;Particular;VARGAS MENDEZ BARBARA ALEJANDRA;Activo;JIRON HUARI 660;Lima;Lima;No aplica;Continuo sólo en la mañana;34;8;5
0644880;22508431;0099 OSCAR MIRO QUESADA DE LA GUERRA;Secundaria;Pública de gestión directa;Sector Educación;LUNA LEON RAIDA LUCINDA;Activo;JIRON PARURO 231;Lima;Lima;No aplica;Continuo sólo en la mañana;134;15;6
0644914;21576751;SEÑOR DE LUREN;Secundaria;Privada;Particular;CASTAÑEDA VARELA SERGIO ERICK;Activo;JIRON CRESPO Y CASTILLO 2401;Lima;Lima;No aplica;Continuo sólo en la mañana;97;10;5
0645093;25202783;NUESTRA SEÑORA DE LA MERCED;Secundaria;Privada;Particular;GARCIA VALLADARES MIRKO FREDY;Activo;JIRON PEREZ DE TUDELA 2474;Lima;Lima;No aplica;Continuo sólo en la mañana;182;8;8
0728055;22391275;1030 REPUBLICA DE BOLIVIA;Secundaria;Pública de gestión directa;Sector Educación;NAVARRO ORELLANA SUSANA;Activo;AVENIDA NICOLAS DE PIEROLA 1533;Lima;Lima;No aplica;Continuo sólo en la mañana;182;14;8
0739367;;NUESTRA SEÑORA DE MONTSERRAT;Secundaria;Privada;Comunidad o asociación religiosa;DE LA GALA HIDALGO JUAN SAMUEL;Activo;JIRON LIMA 653;Lima;Lima;No aplica;Continuo sólo en la mañana;839;42;27
0763771;22390937;1157 JULIO CESAR TELLO ROJAS;Secundaria;Pública de gestión directa;Sector Educación;AVALOS VERA GLORIA MARIA;Activo;AVENIDA JOAQUIN CAPELLO 3110;Lima;Lima;No aplica;Continuo sólo en la mañana;403;34;14
0763789;21575763;VISION MUNDIAL;Secundaria;Pública de gestión directa;Sector Educación;NUÑEZ GONZA ABEL;Activo;CARRETERA VIA EVITAMIENTO KM.4.5 MZ L LOTE 1-2;Lima;Lima;No aplica;Continuo sólo en la tarde;130;9;5
0497081;22392001;1028 REPUBLICA ARGENTINA;Secundaria;Pública de gestión directa;Sector Educación;ULLOA MUÑOZ LUIS ALEXANDER;Activo;JIRON MIROQUESADA 1340;Lima;Lima;No aplica;Continuo sólo en la mañana;145;9;5
1049055;21555053;INMACULADA DE LAS NIEVES;Secundaria;Privada;Particular;VERA SAENZ MARIA ANGELA MONICA;Activo;AVENIDA LUIS BRAILLE 1437;Lima;Lima;No aplica;Continuo sólo en la mañana;70;6;5
1049097;21577413;INTERNACIONAL ELIM;Secundaria;Privada;Particular;MARTINEZ MONTEZA JOSE RONALD;Activo;CALLE SANTA FRANCISCA ROMANA 843 -845 ETAPA III;Lima;Lima;No aplica;Continuo sólo en la mañana;119;10;5
1049337;21560731;ELIM;Secundaria;Privada;Particular;ARCE AULESTIA YUDITH ORIETTA;Activo;JIRON PALCA 128;Lima;Lima;No aplica;Continuo sólo en la mañana;107;16;5
1049493;21559687;SANTA ZOILA;Secundaria;Privada;Particular;REYES LOPEZ MONICA LOURDES CAROLINA;Activo;JIRON HUANTA 1011;Lima;Lima;No aplica;Continuo sólo en la mañana;92;6;5
1072727;21366870;1168 HEROES DEL CENEPA;Secundaria;Pública de gestión directa;Sector Educación;FLORES ACCO HUGO FERDINAN;Activo;JIRON HUALLAGA 878;Lima;Lima;No aplica;Continuo sólo en la tarde;811;41;25
0334680;22344250;PEDRO GALVEZ EGUSQUIZA;Secundaria;Pública de gestión directa;Sector Educación;VIVIANO TUMBAY ALEJANDRO;Activo;CALLE EMILIO GARCIA ROSELL 670;Lima;Lima;No aplica;Continuo sólo en la mañana;311;18;8
0829556;22240870;SAN PABLO;Secundaria;Privada;Particular;BURGOS CRUZADO RAFAEL;Activo;CALLE MARTE 443;Lima;Lima;No aplica;Continuo sólo en la mañana;144;11;5
0466730;22512544;0001 MARIA AUXILIADORA;Secundaria;Pública de gestión privada;Convenio con Sector Educación;RIVERA DÍAZ SOR MAGDA ISABEL;Activo;JIRON ISAIAS CLIVIO 237;Lima;Lima;No aplica;Continuo sólo en la mañana;254;21;10
0337279;25312422;SANTISIMO SALVADOR;Secundaria;Privada;Comunidad o asociación religiosa;SANCHEZ ROJAS AGUSTINA;Activo;JIRON ANCASH 880;Lima;Lima;No aplica;Continuo sólo en la mañana;87;14;5
1048990;25605489;1154 NUESTRA SEÑORA DEL CARMEN;Secundaria;Pública de gestión directa;Sector Educación;BUSTINZA MAMANI JUAN EUDES;Activo;JIRON ELVIRA GARCIA Y GARCIA S/N;Lima;Lima;No aplica;Continuo sólo en la mañana;384;23;15
0336545;25791428;VIRGO POTENS;Secundaria;Pública de gestión privada;Convenio con Sector Educación;PEREZ CASTILLO ROSA ELVIRA;Activo;JIRON PUNO 1731;Lima;Lima;No aplica;Continuo mañana y tarde;1109;60;36
1169390;21558771;INGENIERO JORGE CABRERA TAPIA;Secundaria;Privada;Particular;AUSEJO VASQUEZ MARIA;Activo;JIRON NATALIO SANCHEZ 175;Lima;Lima;No aplica;Continuo sólo en la mañana;;;
1169168;21561231;DIVINO REDENTOR;Secundaria;Privada;Particular;ROJAS RODRIGUEZ IRMA DOLORES;Activo;AVENIDA LA ALBORADA 1720;Lima;Lima;No aplica;Continuo sólo en la mañana;73;13;5
1241983;25307496;LA SORBONA;Secundaria;Privada;Particular;RAMIREZ VIDAL PABLO EMERSON;Activo;AVENIDA 9 DE DICIEMBRE 390;Lima;Lima;No aplica;Continuo sólo en la mañana;81;10;5
1242437;21454230;SACO OLIVEROS DE SANTA BEATRIZ;Secundaria;Privada;Particular;GALVAN NINAMANGO MARIANELA;Activo;AVENIDA AREQUIPA 1268;Lima;Lima;No aplica;Continuo mañana y tarde;335;7;16
1242510;21365211;0095 MARIA AUXILIADORA;Secundaria;Pública de gestión directa;Sector Educación;AMPUERO BEJARANO SARA PAOLA;Activo;AVENIDA MATERIALES 2005;Lima;Lima;No aplica;Continuo sólo en la mañana;277;16;10
0644799;24527468;LA CATOLICA;Secundaria;Privada;Particular;CRUZ VIVAR GISSELLE KATTYA;Activo;JIRON UCAYALI 235;Lima;Lima;No aplica;Continuo mañana y tarde;37;6;5
1227388;21366536;1124 JOSE MARTI;Secundaria;Pública de gestión directa;Sector Educación;ORTEGA ORDOÑEZ ERNESTO ADNAN;Activo;AVENIDA BAUZATE Y MEZA 2299;Lima;Lima;No aplica;Continuo mañana y tarde;378;20;12
1489053;;NUESTRA SEÑORA DE COCHARCAS;Secundaria;Privada;Comunidad o asociación religiosa;PACAHUALA MONTENEGRO CARLOS DANNY;Activo;JIRON HUANUCO 942;Lima;Lima;No aplica;Continuo sólo en la mañana;157;11;6
1489327;21565113;SACO OLIVEROS;Secundaria;Privada;Particular;QUISPE SALAS JENNY ISABEL;Activo;JIRON TEODORO CARDENAS 457;Lima;Lima;No aplica;Continuo sólo en la mañana;364;11;11
1489640;21558516;JESUS DE NAZARETH DE LIMA;Secundaria;Privada;Particular;AMEZ NUÑEZ CAROLA JACQUELINE;Activo;JIRON CRESPO Y CASTILLO 2648;Lima;Lima;No aplica;Continuo sólo en la mañana;98;11;5
1489665;21559504;TRILCE DE ROMA;Secundaria;Privada;Particular;LEON CASTRO TOMAS ANTONIO;Activo;CALLE EMILIO FERNANDEZ 641 - 649;Lima;Lima;No aplica;Continuo sólo en la mañana;533;74;16
1489673;21264725;FRIEDRICH GAUSS;Secundaria;Privada;Particular;ASMAT FERNANDEZ WILFREDO FRANKLIN;Activo;JIRON JOAQUIN CAPELLO 3201;Lima;Lima;No aplica;Continuo sólo en la mañana;49;9;5
1490127;;JESUS REPARADOR;Secundaria;Privada;Comunidad o asociación religiosa;DIOSES GUTIERREZ DANY;Activo;JIRON CUZCO 723;Lima;Lima;No aplica;Continuo sólo en la mañana;161;17;10
1490721;24607641;DIVINO Y SAGRADO CORAZON DE JESUS;Secundaria;Privada;Particular;QUEZADA MAZA SILVIA OLINDA;Activo;JIRON SUECIA 1216;Lima;Lima;No aplica;Continuo sólo en la mañana;158;11;6
1491471;21577251;VICTOR ANDRES BELAUNDE;Secundaria;Privada;Particular;OLIVERA SARMIENTO GORKI AUGUSTO;Activo;JIRON CHOTA 855;Lima;Lima;No aplica;Continuo sólo en la mañana;22;7;5
1491521;24925102;REMAR;Secundaria;Privada;Asociación civil / Inst.Benéfica;MATTOS BENITES GLADYS ESMERALDA;Activo;JIRON CAMANA 963;Lima;Lima;No aplica;Continuo sólo en la mañana;58;5;5
1491729;21576425;TERESA DE CALCUTA EN TRINIDAD;Secundaria;Privada;Particular;VASQUEZ MEJIA CARLOS;Activo;JIRON GUALBERTO GUEVARA 587;Lima;Lima;No aplica;Continuo sólo en la mañana;53;6;5
1492412;25023838;BARCIA BONIFATTI;Secundaria;Privada;Particular;QUIÑONES CHOQUEHUANCA DOLORES MILAGROS;Activo;JIRON PEREZ DE TUDELA 3055;Lima;Lima;No aplica;Continuo sólo en la mañana;75;6;5
1327584;21264806;JORGE BASADRE;Secundaria;Privada;Particular;RIDOUTT LINDO CESAR ENRIQUE;Activo;JIRON ARISTIDES DEL CARPIO MUÑOZ 1138;Lima;Lima;No aplica;Continuo sólo en la mañana;45;8;5
1342682;21563218;LOS ROBLES;Secundaria;Privada;Particular;VASQUEZ LOPEZ SERGIO RAUL;Activo;JIRON CARLOS ARRIETA 1249;Lima;Lima;No aplica;Continuo sólo en la mañana;63;8;5
1376870;21264563;DIVINO SALVADOR;Secundaria;Privada;Particular;ALCALDE FLORES MARIA LAURA;Activo;JIRON CAILLOMA 574;Lima;Lima;No aplica;Continuo sólo en la mañana;73;8;5
1401918;21487651;TRENTO COLONIAL;Secundaria;Privada;Particular;HUAMAN FELICIANO JOSE LUIS;Activo;AVENIDA OSCAR R. BENAVIDES / EX- COLONIAL 2443;Lima;Lima;No aplica;Continuo sólo en la mañana;79;11;5
1441005;21561495;DANTE ALIGHIERI;Secundaria;Privada;Particular;VILLALOBOS MENDIVIL SANDRA MARILIA;Activo;AVENIDA PETIT THOUARS 1090;Lima;Lima;No aplica;Continuo sólo en la mañana;225;27;10
1539717;24941779;SACO OLIVEROS DE LOS CIPRESES;Secundaria;Privada;Particular;GARAVITO ZAPATA SUSANA CECILIA;Activo;JIRON EZEQUIEL OSSIO PEÑARANDA 1812-1830;Lima;Lima;No aplica;Continuo sólo en la mañana;323;10;10
1548155;;INNOVA;Secundaria;Privada;Particular;BUENDIA JONDA MAURA VITALIA;Activo;JIRON DINAMARCA 1324;Lima;Lima;No aplica;Continuo sólo en la mañana;;;
1701002;21456217;INNOVA SCHOOLS - CERCADO;Secundaria;Privada;Particular;ESPINOZA CHIRINOS NORA YSELA;Activo;CALLE SANCHEZ PINILLOS 386;Lima;Lima;No aplica;Continuo sólo en la mañana;555;23;16
1704329;22241117;SAINT PATRICK;Secundaria;Privada;Particular;BOYER CAMACHO ESTHER;Activo;JIRON TNTE ARISTIDES DEL CARPIO 1625;Lima;Lima;No aplica;Continuo sólo en la mañana;112;3;5
1723378;21557862;INNOVA SCHOOLS - BERTELLO;Secundaria;Privada;Particular;HERRERA ORMEÑO ESTHER MIRYAM;Activo;SUB LOTE 5-B MZ C LOTE 3-4-5;Lima;Lima;No aplica;Continuo sólo en la mañana;655;26;19
1774439;24914968;TRILCE SANTA BEATRIZ;Secundaria;Privada;Particular;PORTUGAL PACHECO KATHERINE;Activo;AVENIDA AREQUIPA 1381;Lima;Lima;No aplica;Continuo sólo en la mañana;1069;87;28
1785831;25005287;SACO OLIVEROS DE ELIO;Secundaria;Privada;Particular;ABANTO SOPLIN LIZETH;Activo;CALLE EUGENIO PAREDES 2448-2450;Lima;Lima;No aplica;Continuo sólo en la mañana;287;10;10
1789742;21455482;SANTA TERESA DE AVILA;Secundaria;Privada;Particular;CONTRERAS CASTAÑEDA FRIDA NANCY;Activo;AVENIDA PROLONGACION ARICA 2048;Lima;Lima;No aplica;Continuo sólo en la mañana;10;4;4
0432773;21503819;CARLOS GUTIERREZ MERINO;Secundaria;Pública de gestión directa;Sector Educación;VICENTE VARA GASPAR BENJAMIN;Activo;JIRON LOA 875;Lima;Ancón;No aplica;Continuo mañana y tarde;728;48;23
0663559;22164635;2066 ALMIRANTE MIGUEL GRAU;Secundaria;Pública de gestión directa;Sector Educación;PORTOCARRERO PALACIOS CARLOS ENRIQUE;Activo;AVENIDA LOS EUCALIPTOS S/N;Lima;Ancón;No aplica;Continuo sólo en la mañana;815;32;22
0732495;21370657;3098 CESAR VALLEJO;Secundaria;Pública de gestión directa;Sector Educación;TANG ALMEIDA ANA ESTHER;Activo;AVENIDA B S/N;Lima;Ancón;No aplica;Continuo sólo en la mañana;892;39;26
1053693;22299611;3721 SANTA ROSA;Secundaria;Pública de gestión privada;Convenio con Sector Educación;CASTILLA ALBARRAN GABY;Activo;AVENIDA LAS COLINAS S/N;Lima;Ancón;No aplica;Continuo sólo en la mañana;388;21;12
1053883;21637238;SANTIAGO ANTUNEZ DE MAYOLO;Secundaria;Privada;Particular;HURTADO GALARZA TOMAS LEONIDAS;Activo;AVENIDA JOSE CARLOS MARIATEGUI S/N MZ K-14 LOTE 3;Lima;Ancón;No aplica;Continuo sólo en la mañana;130;8;5
1054832;21639478;MIGUEL GRAU SEMINARIO;Secundaria;Privada;Particular;PEREZ CHAVEZ WALTER;Activo;AVENIDA ARICA S/N MZ Z LOTE 2;Lima;Ancón;No aplica;Continuo sólo en la mañana;27;5;5
1194810;22274295;3069 GENERALISIMO JOSE DE SAN MARTIN;Secundaria;Pública de gestión directa;Sector Educación;LA TORRE LOAYZA JOSE LUIS;Activo;AVENIDA JULIO C TELLO 1RA CUADRA S/N;Lima;Ancón;No aplica;Continuo sólo en la tarde;612;30;18
1257732;21635091;ADESA;Secundaria;Privada;Particular;ABAL QUISPE SUSY;Activo;AVENIDA B Y D S/N;Lima;Ancón;No aplica;Continuo sólo en la mañana;113;10;5
1495803;21633275;EL CARMELO;Secundaria;Privada;Particular;SOLORZANO CAMPOS DAVID EDUARDO;Activo;MZ A LOTE 1-2;Lima;Ancón;No aplica;Continuo sólo en la mañana;38;7;5
1496314;21633682;DIOS ES AMOR;Secundaria;Privada;Particular;VALENZUELA BARRETO SALLY DEYSI;Activo;MZ D LOTE 5-6;Lima;Ancón;No aplica;Continuo sólo en la mañana;449;16;16
1500354;21374873;8193;Secundaria;Pública de gestión directa;Sector Educación;HERRERA SANCHEZ EDGAR FALCONI;Activo;AVENIDA LOS DURAZNOS S/N;Lima;Ancón;No aplica;Continuo sólo en la tarde;505;22;15
1501642;;SAN IGNACIO DE LA PAZ;Secundaria;Privada;Particular;PALOMINO MENESES VICTOR;Activo;CALLE BELLAVISTA S/N MZ 118 LOTE 11,12,21 Y 22;Lima;Ancón;No aplica;Continuo sólo en la mañana;20;1;2
1520741;21637491;SAN ROQUE DE VILLAS DE ANCON;Secundaria;Privada;Particular;SIFUENTES LEON MELKA;Activo;MZ 157 LOTE 1-2, 26-28;Lima;Ancón;No aplica;Continuo sólo en la mañana;31;2;5
1544253;21639397;MY. EP MARKO JARA SCHENONE;Secundaria;Privada;Particular;CONTRERAS NAJARRO ROSA MARIA;Activo;MZ R LOTE 01;Lima;Ancón;No aplica;Continuo sólo en la mañana;68;10;5
1749274;21638307;SAGRADA FAMILIA APOVA;Secundaria;Pública de gestión directa;Sector Educación;SANCHEZ EVERTH;Activo;CALLE ICA S/N;Lima;Ancón;No aplica;Continuo sólo en la tarde;296;13;9
1760669;22221728;PACIFICO COLLEGE;Secundaria;Privada;Particular;LUNA HERNANDEZ PAUL ANTONIO;Activo;MZ 28 LOTE 2,8 Y 9;Lima;Ancón;No aplica;Continuo sólo en la mañana;58;10;5
1770684;21643254;NUESTRA SEÑORA DE LA PAZ;Secundaria;Pública de gestión directa;Sector Educación;LITANO SERNAQUE ROSA DEL PILAR;Activo;CALLE AMAZONAS S/N;Lima;Ancón;No aplica;Continuo mañana y tarde;297;14;10
0773903;24692371;SACO OLIVEROS DE ATE;Secundaria;Privada;Particular;ARANGÜENA GONZALES MARY ISABEL;Activo;AVENIDA ATE 332;Lima;Ate;No aplica;Continuo sólo en la mañana;357;9;10
1045434;21536091;AKIRA KATO;Secundaria;Pública de gestión directa;Sector Educación;CRISOSTOMO ROJAS TEOFILO;Activo;HORACIO ZEBALLOS;Lima;Ate;No aplica;Continuo mañana y tarde;733;35;20
1075944;25633776;1136 JOHN F. KENNEDY;Secundaria;Pública de gestión directa;Sector Educación;RUIZ SANCHEZ JUAN CARLOS;Activo;JIRON DIEGO FERNANDEZ 237;Lima;Ate;No aplica;Continuo sólo en la tarde;307;18;13
1045632;25643267;1255 WALTER PEÑALOZA RAMELLA;Secundaria;Pública de gestión directa;Sector Educación;VILLANUEVA BONIFACIO ALFREDO CESAR;Activo;CALLE HUAYCAN 26 ZONA H;Lima;Ate;No aplica;Continuo mañana y tarde;943;41;27
0743807;21411094;1228 LEONCIO PRADO;Secundaria;Pública de gestión directa;Sector Educación;ALIAGA BALTAZAR OSCAR;Activo;AVENIDA LOS CLAVELES S/N;Lima;Ate;No aplica;Continuo mañana y tarde;857;43;27
0469700;23497778;1209 MARISCAL TORIBIO DE LUZURIAGA;Secundaria;Pública de gestión directa;Sector Educación;FELIX LUNA LEONARDO LUIS;Activo;CALLE MARTE 120;Lima;Ate;No aplica;Continuo sólo en la tarde;570;37;23
0743815;24696669;1229 CAP. JULIO A. PONCE ANTUNEZ DE MAYOLO;Secundaria;Pública de gestión directa;Sector Educación;GOMEZ LUCANA ZORAIDA;Activo;CALLE CUZCO 199;Lima;Ate;No aplica;Continuo mañana y tarde;413;22;14
0650036;21410918;1212 GRUMETE MEDINA;Secundaria;Pública de gestión directa;Sector Educación;VILCHEZ PILLACA WALTAER CONSTANTINO;Activo;PASAJE JUAN SIFUENTES 205;Lima;Ate;No aplica;Continuo sólo en la mañana;274;21;9
