Código modular;Código de institución;Nombre de IE;Nivel / Modalidad;Tipo de Gestión;Dependencia;Director;Estado;Dirección de IE;Provincia;Distrito;Tipo de programa;Turno;Alumnos (Censo educativo);Docentes (Censo educativo);Secciones (Censo educativo)
1728625;21336920;SANTA ANA DE LOS JARDINES II;Secundaria;Privada;Particular;REYES SANTOS JOHNNY FERNANDO;Activo;JIRON TAMARINDOS 381-383;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;334;15;12
1730829;23501228;BH SCHOOL S.M.P.;Secundaria;Privada;Particular;BRAVO TRUJILLO LIBIA ANTONIA;Activo;CALLE 3 MZ D LOTE 29-30-3;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;67;11;5
1731363;;NEIL ARMSTRONG COLLEGE;Secundaria;Privada;Particular;CHINCHAY AGUILAR PATRICK ZMILZINIA;Activo;AVENIDA PROLONGACION PACASMAYO S/N MZ G LOTE 20 ETAPA I;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;14;4;5
1735216;;SAN VICENTE DE NARANJAL;Secundaria;Privada;Particular;MAURATE SOTO ENRIQUE FISHER;Activo;MZ A LOTE 8;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;;;
1749019;24604268;PEDRO ABRAHAM VALDELOMAR PINTO;Secundaria;Pública de gestión directa;Sector Educación;GALA RAMOS DORA LUCILA;Activo;MZ O;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;137;8;6
1756717;22271148;INTERNACIONAL ELIM;Secundaria;Privada;Particular;SANCHEZ NAUPARI MILAGROS ELENA;Activo;AVENIDA MONTERREY MZ G LOTE 1;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;61;7;5
1759190;21353337;VIRGEN DE ASUNCION;Secundaria;Privada;Particular;ARELLAN YANAC ROXANA VIOLETA;Activo;MZ J LOTE 17-18;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;0;0;0
1763093;21344192;JOSE MARTI;Secundaria;Privada;Particular;MARTINEZ DE MINAYA BEATRIZ VICTORIA;Activo;MZ A LOTE 19-20;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;1;7;1
1765734;;HONORES DE BERTELLO;Secundaria;Privada;Particular;MONGE DONAIRES MILTON;Activo;AVENIDA CARLOS IZAGUIRRE S/N MZ B LOTE 11,12,13 Y 14;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;116;5;5
1767524;24923797;ASOCIACION EDUCATIVA PRIVADA ENCINAS SCHOOL;Secundaria;Privada;Particular;DIAZ CARTAGENA NOEMI;Activo;CALLE LOS GIRASOLES Y LAS VIOLETAS S/N MZ D LOTE 3;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;82;5;5
1768571;22222228;CIENCIAS NEWTON;Secundaria;Privada;Particular;JARA FRANCIA LIZETH FIORELLA;Activo;MZ B LOTE 9-10;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;274;11;11
1770536;21538493;ESCUELA EUROPEA DEL PERU;Secundaria;Privada;Particular;;Activo;AVENIDA TANTAMAYO MZ A LOTE 6-9;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;99;6;5
1773068;25061861;REINO DE LOS CIELOS SEDE GARLAND;Secundaria;Privada;Particular;JIMENEZ ESCALANTE GILBERT EMILIO;Activo;JIRON ANTONIO GARLAND 506-510;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;9;3;3
1773084;21356972;LAS GARDENIAS DE SANTA ROSA;Secundaria;Privada;Particular;;Activo;MZ F LOTE 20;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;34;9;5
1778224;25383461;MATER DEI;Secundaria;Privada;Particular;HERNANDEZ FALCON TANIA MARGARITA;Activo;AVENIDA BERTELLO S/N MZ J LOTE 14-15 ETAPA II;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;71;8;5
1778380;21414719;MI BUEN JESUS;Secundaria;Privada;Particular;TARAZONA PONTE LILIANA GEORGINA;Activo;JIRON LORETO 3898;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;74;11;5
1778786;21340707;SAN PIO X;Secundaria;Privada;Particular;;Activo;JIRON NICOLAS ARANIBAR 107 - 123;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;158;23;6
1778794;25090810;EUROAMERICANO;Secundaria;Privada;Particular;;Activo;CALLE ISAIAS MZ U LOTE 24-26;Lima;San Martín de Porres;No aplica;Continuo sólo en la mañana;38;6;4
